":START_ID",":END_ID",":TYPE"
"28","37","FACES_RISK"
"28","40","FACES_RISK"
"28","41","FACES_RISK"
"28","42","FACES_RISK"
"28","43","FACES_RISK"
"28","44","FACES_RISK"
"28","46","FACES_RISK"
"28","47","FACES_RISK"
"28","48","FACES_RISK"
"28","49","FACES_RISK"
"28","50","FACES_RISK"
"28","51","FACES_RISK"
"28","55","FACES_RISK"
"28","56","FACES_RISK"
"28","57","FACES_RISK"
"28","58","FACES_RISK"
"28","60","FACES_RISK"
"28","61","FACES_RISK"
"28","62","FACES_RISK"
"28","64","FACES_RISK"
"28","65","FACES_RISK"
"28","66","FACES_RISK"
"28","67","FACES_RISK"
"28","68","FACES_RISK"
"28","69","FACES_RISK"
"28","70","FACES_RISK"
"28","73","FACES_RISK"
"28","74","FACES_RISK"
"28","75","FACES_RISK"
"28","81","FACES_RISK"
"28","82","FACES_RISK"
"28","83","FACES_RISK"
"28","84","FACES_RISK"
"28","85","FACES_RISK"
"28","86","FACES_RISK"
"28","87","FACES_RISK"
"28","88","FACES_RISK"
"28","89","FACES_RISK"
"28","90","FACES_RISK"
"28","91","FACES_RISK"
"28","92","FACES_RISK"
"28","95","FACES_RISK"
"28","96","FACES_RISK"
"28","97","FACES_RISK"
"28","98","FACES_RISK"
"28","100","FACES_RISK"
"28","101","FACES_RISK"
"28","102","FACES_RISK"
"28","103","FACES_RISK"
"28","105","FACES_RISK"
"28","106","FACES_RISK"
"28","107","FACES_RISK"
"28","108","FACES_RISK"
"28","109","FACES_RISK"
"28","113","FACES_RISK"
"28","115","FACES_RISK"
"28","116","FACES_RISK"
"28","117","FACES_RISK"
"28","119","FACES_RISK"
"28","120","FACES_RISK"
"28","121","FACES_RISK"
"28","123","FACES_RISK"
"28","124","FACES_RISK"
"28","126","FACES_RISK"
"28","127","FACES_RISK"
"28","128","FACES_RISK"
"28","130","FACES_RISK"
"28","131","FACES_RISK"
"28","132","FACES_RISK"
"28","134","FACES_RISK"
"28","135","FACES_RISK"
"28","136","FACES_RISK"
"28","137","FACES_RISK"
"28","139","FACES_RISK"
"28","141","FACES_RISK"
"28","142","FACES_RISK"
"28","143","FACES_RISK"
"28","147","FACES_RISK"
"28","149","FACES_RISK"
"28","150","FACES_RISK"
