":START_ID",":END_ID",":TYPE"
"1","2","NEXT_CHUNK"
"2","3","NEXT_CHUNK"
"3","4","NEXT_CHUNK"
"4","5","NEXT_CHUNK"
"5","6","NEXT_CHUNK"
"6","7","NEXT_CHUNK"
"7","8","NEXT_CHUNK"
"8","9","NEXT_CHUNK"
"9","10","NEXT_CHUNK"
"10","11","NEXT_CHUNK"
"11","12","NEXT_CHUNK"
"12","13","NEXT_CHUNK"
"13","14","NEXT_CHUNK"
"14","15","NEXT_CHUNK"
"15","16","NEXT_CHUNK"
"16","17","NEXT_CHUNK"
"17","18","NEXT_CHUNK"
"18","19","NEXT_CHUNK"
"19","20","NEXT_CHUNK"
"20","21","NEXT_CHUNK"
"21","22","NEXT_CHUNK"
"22","23","NEXT_CHUNK"
"23","24","NEXT_CHUNK"
"24","25","NEXT_CHUNK"
"25","26","NEXT_CHUNK"
"26","27","NEXT_CHUNK"
"45","54","NEXT_CHUNK"
"54","59","NEXT_CHUNK"
"59","63","NEXT_CHUNK"
"63","71","NEXT_CHUNK"
"71","72","NEXT_CHUNK"
"72","80","NEXT_CHUNK"
"80","93","NEXT_CHUNK"
"93","94","NEXT_CHUNK"
"94","99","NEXT_CHUNK"
"99","104","NEXT_CHUNK"
"104","114","NEXT_CHUNK"
"114","118","NEXT_CHUNK"
"118","122","NEXT_CHUNK"
"122","125","NEXT_CHUNK"
"125","129","NEXT_CHUNK"
"129","133","NEXT_CHUNK"
"133","138","NEXT_CHUNK"
"138","144","NEXT_CHUNK"
"144","148","NEXT_CHUNK"
"148","152","NEXT_CHUNK"
"152","157","NEXT_CHUNK"
"157","163","NEXT_CHUNK"
"163","193","NEXT_CHUNK"
"193","194","NEXT_CHUNK"
"194","195","NEXT_CHUNK"
"195","196","NEXT_CHUNK"
"196","197","NEXT_CHUNK"
"197","203","NEXT_CHUNK"
"203","216","NEXT_CHUNK"
"216","217","NEXT_CHUNK"
"217","225","NEXT_CHUNK"
"225","231","NEXT_CHUNK"
"231","232","NEXT_CHUNK"
"232","233","NEXT_CHUNK"
"233","234","NEXT_CHUNK"
"234","235","NEXT_CHUNK"
"235","236","NEXT_CHUNK"
"236","237","NEXT_CHUNK"
"237","238","NEXT_CHUNK"
"238","239","NEXT_CHUNK"
"239","240","NEXT_CHUNK"
"240","241","NEXT_CHUNK"
"241","242","NEXT_CHUNK"
"242","243","NEXT_CHUNK"
"243","244","NEXT_CHUNK"
"244","245","NEXT_CHUNK"
"245","246","NEXT_CHUNK"
"246","247","NEXT_CHUNK"
"247","248","NEXT_CHUNK"
"248","249","NEXT_CHUNK"
"249","250","NEXT_CHUNK"
"250","251","NEXT_CHUNK"
"251","252","NEXT_CHUNK"
"252","253","NEXT_CHUNK"
"253","254","NEXT_CHUNK"
"254","255","NEXT_CHUNK"
"255","256","NEXT_CHUNK"
"256","257","NEXT_CHUNK"
"257","258","NEXT_CHUNK"
"258","259","NEXT_CHUNK"
"259","260","NEXT_CHUNK"
"260","261","NEXT_CHUNK"
"261","262","NEXT_CHUNK"
"262","263","NEXT_CHUNK"
"263","264","NEXT_CHUNK"
"264","265","NEXT_CHUNK"
"265","266","NEXT_CHUNK"
"266","267","NEXT_CHUNK"
"267","268","NEXT_CHUNK"
"268","269","NEXT_CHUNK"
"269","270","NEXT_CHUNK"
"281","297","NEXT_CHUNK"
"297","299","NEXT_CHUNK"
"299","302","NEXT_CHUNK"
"302","303","NEXT_CHUNK"
"303","304","NEXT_CHUNK"
"304","305","NEXT_CHUNK"
"305","309","NEXT_CHUNK"
"309","315","NEXT_CHUNK"
"315","326","NEXT_CHUNK"
"326","333","NEXT_CHUNK"
"333","334","NEXT_CHUNK"
"334","335","NEXT_CHUNK"
"335","341","NEXT_CHUNK"
"341","342","NEXT_CHUNK"
"342","343","NEXT_CHUNK"
"343","344","NEXT_CHUNK"
"344","346","NEXT_CHUNK"
"346","348","NEXT_CHUNK"
"348","352","NEXT_CHUNK"
"352","358","NEXT_CHUNK"
"358","359","NEXT_CHUNK"
"359","363","NEXT_CHUNK"
"363","371","NEXT_CHUNK"
"371","373","NEXT_CHUNK"
"373","374","NEXT_CHUNK"
"374","375","NEXT_CHUNK"
"375","383","NEXT_CHUNK"
"383","384","NEXT_CHUNK"
"384","386","NEXT_CHUNK"
